问题,回答,类型
广州目前月最低工资线是多少？,目前广州最低工资标准：全日制月最低工资2500元，非全日制小时工资23.7元/小时,知识库存在
广州最新的最低工资是多少（月薪）？,目前广州最低工资标准：全日制月最低工资2500元，非全日制小时工资23.7元/小时,知识库存在
广州执行的最低工资是多少？,目前广州最低工资标准：全日制月最低工资2500元，非全日制小时工资23.7元/小时,知识库存在
病假工资最多能低到多少？,应以最低工资的 80% 为底线。,知识库存在
上海哺乳假不上班，工资怎么发才合法？,上海哺乳假不上班：≥本人工资 70% 且≥2690；生活困难可提高到 80%，但上限 80%。,知识库存在
今年5月，上海和北京最低工资分别是多少？,上海 2690元；北京 2420元（两地 2025 年 7 月 1 日起调整最低工资标准）。,知识库存在
上海月最低工资现在是多少？,目前上海最低工资标准：全日制月最低工资2740元，非全日制小时工资25元/小时,知识库存在
2025版上海最低工资线是多少？,目前上海最低工资标准：全日制月最低工资2740元，非全日制小时工资25元/小时,知识库存在
东莞目前月最低工资是多少？,目前东莞最低工资标准：全日制月最低工资2080元，非全日制小时工资19.8元/小时,知识库存在
北京现行月最低工资和小时最低工资各是多少？,目前北京最低工资标准：全日制月最低工资2540元，非全日制小时工资27.7元/小时,知识库存在
请一次性告诉我扬州的产假、陪产假、婚假天数及最低工资、社平工资。,扬州 最低工资标准一类：2490元；二类：2260元,知识库存在
今年上海最低工资新标准是多少？,目前上海最低工资标准：全日制月最低工资2740元，非全日制小时工资25元/小时,知识库存在
南京拿最低工资的员工，病假工资按多少兜底？,南京最低工资2490元；病假工资口径按 最低工资的80%计算。,知识库存在
全国31省最新最低工资分别是多少？,（列出：上海、北京、等全国省份的最低工资）,知识库存在
北京员工办停薪留职，单位还必须给最低工资吗？,“停薪留职”本身意味着“暂停工资、保留劳动关系”，北京司法实践与劳动行政口径均明确：在停薪留职期间，用人单位没有支付最低工资的法定义务；双方可另行约定生活费，但约定金额可以低于北京市最低工资标准。,知识库存在
广州月最低工资现行标准是多少？,目前广州最低工资标准：全日制月最低工资2500元，非全日制小时工资23.7元/小时,知识库存在
上海这次最低工资调完后具体是多少？,目前上海最低工资标准：全日制月最低工资2740元，非全日制小时工资25元/小时,知识库存在
苏州2025年最低工资调到多少了？,2490元,知识库存在
最低工资上调会带来哪些连锁反应？,影响：1. 低收入群体薪酬直接提升；2. 社保公积金托底基数随之上调；3. 企业用工成本增加；4. 加班费、经济补偿金、病假工资等派生待遇同步上涨；5. 可能带来边际岗位压缩或自动化替代。,知识库存在
上海员工月内非因工死亡，当月最低工资要发整月还是按天折算？,上海口径：员工月中非因工死亡，当月工资应按全月最低工资标准发放，不得按实际工作日折算。,知识库存在
湖南一类、二类、三类地区最低工资分别是多少？,一类：2200元；二类：2000元；三类：1800元,知识库存在
北京目前月最低工资是多少？,目前北京最低工资标准：全日制月最低工资2540元，非全日制小时工资27.7元/小时,知识库存在
安徽定远县最低工资是多少？,目前定远县最低工资标准：全日制月最低工资2100元，非全日制小时工资21元/小时,知识库存在
上海和北京最新最低工资对比是多少？,上海最低工资 2740元，北京最低工资2540元。,知识库存在
上海最低工资有上下限说法吗？具体金额？,目前上海最低工资标准：全日制月最低工资2740元，非全日制小时工资25元/小时,知识库存在
上海今年最低工资线是多少？,目前上海最低工资标准：全日制月最低工资2740元，非全日制小时工资25元/小时,知识库存在
上海公积金缴费下限就按最低工资走吗？,上海公积金下限通常会根据最低工资的调整，相应同步调整为最低工资基数。,知识库存在
四川泸州2025年最低工资是多少？,2200元,知识库存在
浙江金华今年最低工资分档多少？,二类：2260元；三类：2010元,知识库存在
无锡最低工资里含个人社保公积金吗？,包含,知识库存在
天津最低工资从哪天开始执行新标准？,2025年9月1日,知识库存在
宁波一类、二类地区最低工资各是多少？,一类：2490元；二类：2260元,知识库存在
国家层面关于最低工资的核心政策是哪一部？,最低工资政策：国家层面《最低工资规定》（劳动和社会保障部令第 21 号）；各地每 2 年至少调整一次，可多于 2 年；口径分“含或不含社保公积金个人部分”；分全日制月标准及非全日制小时标准。,知识库存在
“最低工资”到底包不包括加班费、津贴和福利？,最低工资指劳动者在法定工作时间内提供正常劳动的前提下，用人单位依法应支付的最低劳动报酬；不含加班费、津贴、福利等。,知识库存在
员工到手工资可以低于最低工资吗？,是的,知识库存在
一类、二类最低工资差在哪？,一类、二类、三类指省内经济发展水平分档，一类最高，对应省会城市或经济强市；各省划分不同。,知识库存在
“最低小时工资”到底指什么？,最低工资指劳动者在法定工作时间内提供正常劳动的前提下，用人单位依法应支付的最低劳动报酬；不含加班费、津贴、福利等。,知识库存在
全职朝九晚五能用小时最低工资吗？,不可以，朝九晚五属于全日制用工，必须执行月最低工资，不能用小时最低工资。,知识库存在
最低工资一涨，哪些待遇会跟着变？,最低工资调整后，住房公积金缴存下限、加班费计算基数底线、病假工资、失业保险金标准、工伤伤残津贴等也会相应调整,知识库存在
公积金最低缴费基数跟最低工资挂钩吗？,全国大部分地区公积金托底基数直接按当地最低工资标准执行。,知识库存在
北京最近上调最低工资了吗？,涨了，从全日制月最低工资2420元调整为2540元,知识库存在
杭州2025年最低工资涨了多少？,杭州：一类：2490元；二类：2260元,知识库存在
重庆发布2025年最低工资新标准了吗？,重庆最低工资标准：一类：2330元；二类： 2200元,知识库存在
西安今年最低工资有没有调整？,没有调整,知识库存在
12月哪些省市上调了最低工资？,截止12月，河南、黑龙江、吉林、辽宁等地区调整了最低工资标准,知识库存在
上海调整最低工资的红头文件叫什么？,上海市人力资源和社会保障局关于调整本市最低工资标准的通知（沪人社规〔2025〕10号）,知识库存在
河北最低工资调整的通知文件名是什么？,《河北省人力资源和社会保障厅关于调整最低工资标准的通知》,知识库存在
黑龙江最低工资新政的文号是多少？,黑政规〔2025〕1号,知识库存在
宿州萧县现行最低工资是多少？,2100元,知识库存在
